;MethodLength;LOCMethod_CK;NumberOfNumbers;MaxNumberOfNestedBlocks;NumberOfMethods_Checkstyle;NumberOfVariables;NCSSForThisClass;BuggedMethods;ClassDataAbstractionCoupling;NumberOfTryCatch;NumberOfAnonymousClasses;NumberOfLambdas;CBO;CyclomaticComplexity;Maximum Depth;ExecutableStatementCount;NumberOfPublicMethods_Checkstyle;NumberOfParameters_CK;NCSSForThisFile;NestedTryDepth;NumberOfModifiers;NumberOfInnerClasses;NumberOfAssignments;NumberOfLogStatements;FileLength;NPathComplexity;ThrowsCount;NestedForDepth;NumberOfPackageMethod;NumberOfStringLiterals;RFC;NumberOfPrivateMethod;BooleanExpressionComplexity;WMC_CK;NumberOfParenthesizedExps;NumberOfMathOperations;NestedIfElseDepth;NumberOfUniqueWords;NCSSForThisMethod;NumberOfComparisons;AnonymousInnerClassLength;NumberOfLoops;ClassFanOutComplexity;Returns;IsConstructor;NumberOfProtectedMethod
count;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720;2720.0
unique;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
top;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;
freq;;;;;;;;2446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2634;
mean;3.2974264705882352;3.0128676470588234;0.46948529411764706;0.10625;0.3801470588235294;0.5191176470588236;3.228676470588235;;0.08125;0.0007352941176470588;0.0003676470588235294;0.0;0.7397058823529412;0.6209558823529412;0.6345588235294117;1.9378676470588236;0.31176470588235294;0.15110294117647058;3.3316176470588235;0.0;2.9091911764705882;0.0;0.7731617647058824;0.0029411764705882353;6.968014705882353;1.0794117647058823;0.13713235294117648;0.0058823529411764705;0.013970588235294118;0.9533088235294118;0.9;0.008455882352941176;0.03161764705882353;0.6275735294117647;0.05772058823529412;0.07058823529411765;0.01948529411764706;4.439705882352941;2.4683823529411764;0.10183823529411765;0.03419117647058824;0.046691176470588236;0.3003676470588235;0.2577205882352941;;0.046691176470588236
std;7.350230285271496;6.40581032316874;2.36247070844431;0.46277134620374955;2.788546950268075;1.5232663992605489;27.485779955379346;;0.6739637953919191;0.027111320320213562;0.01917412472118426;0.0;1.6286005477965273;1.2666261717773;1.1017975667574456;5.112435697535873;2.12393006008076;0.4385340734422672;29.945131145549286;0.0;48.12035362846626;0.0;2.4800076528865187;0.05416275918578076;58.502189260907315;13.092659944142541;0.344050271496778;0.12707401467334256;0.20428394452712784;3.820208658779266;2.1760338248890845;0.13120304334322377;0.2246986313636997;1.2992390317134914;0.5597567733650781;0.5631986679185668;0.16041422957549506;7.91612224858047;5.683101192335201;0.5944424509111133;0.6027460210893429;0.3468293948384842;2.268125037365508;0.7278260332656257;;1.4749433785939707
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
75%;3.0;3.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;;0.0
max;105.0;86.0;56.0;7.0;85.0;16.0;650.0;;16.0;1.0;1.0;0.0;12.0;13.0;7.0;71.0;44.0;5.0;666.0;0.0;1028.0;0.0;45.0;1.0;1178.0;512.0;1.0;4.0;7.0;72.0;26.0;4.0;4.0;15.0;18.0;12.0;3.0;75.0;76.0;18.0;16.0;9.0;77.0;10.0;;76.0
